name,yahoo,sector,universe
Cholamandalam Investment and Finance Company,CHOLAFIN.NS,Financial Services,nifty500
Cipla,CIPLA.NS,Healthcare,nifty500
City Union Bank,CUB.NS,Financial Services,nifty500
Clean Science and Technology,CLEAN.NS,Chemicals,nifty500
Coal India,COALINDIA.NS,Oil Gas & Consumable Fuels,nifty500
Cochin Shipyard,COCHINSHIP.NS,Capital Goods,nifty500
Coforge,COFORGE.NS,Information Technology,nifty500
Cohance Lifesciences,COHANCE.NS,Healthcare,nifty500
Colgate Palmolive (India),COLPAL.NS,Fast Moving Consumer Goods,nifty500
Computer Age Management Services,CAMS.NS,Financial Services,nifty500
Concord Biotech,CONCORDBIO.NS,Healthcare,nifty500
Container Corporation of India,CONCOR.NS,Services,nifty500
Coromandel International,COROMANDEL.NS,Chemicals,nifty500
Craftsman Automation,CRAFTSMAN.NS,Automobile and Auto Components,nifty500
CreditAccess Grameen,CREDITACC.NS,Financial Services,nifty500
Crompton Greaves Consumer Electricals,CROMPTON.NS,Consumer Durables,nifty500
Cummins India,CUMMINSIND.NS,Capital Goods,nifty500
Cyient,CYIENT.NS,Information Technology,nifty500
DCM Shriram,DCMSHRIRAM.NS,Diversified,nifty500
DLF,DLF.NS,Realty,nifty500
DOMS Industries,DOMS.NS,Fast Moving Consumer Goods,nifty500
Dabur India,DABUR.NS,Fast Moving Consumer Goods,nifty500
Dalmia Bharat,DALBHARAT.NS,Construction Materials,nifty500
Data Patterns (India),DATAPATTNS.NS,Capital Goods,nifty500
Deepak Fertilisers & Petrochemicals Corp.,DEEPAKFERT.NS,Chemicals,nifty500
Deepak Nitrite,DEEPAKNTR.NS,Chemicals,nifty500
Delhivery,DELHIVERY.NS,Services,nifty500
Devyani International,DEVYANI.NS,Consumer Services,nifty500
Divi's Laboratories,DIVISLAB.NS,Healthcare,nifty500
Dixon Technologies (India),DIXON.NS,Consumer Durables,nifty500
Dr. Lal Path Labs,LALPATHLAB.NS,Healthcare,nifty500
Dr. Reddy's Laboratories,DRREDDY.NS,Healthcare,nifty500
E.I.D. Parry (India),EIDPARRY.NS,Fast Moving Consumer Goods,nifty500
EIH,EIHOTEL.NS,Consumer Services,nifty500
Eicher Motors,EICHERMOT.NS,Automobile and Auto Components,nifty500
Elecon Engineering Co.,ELECON.NS,Capital Goods,nifty500
Elgi Equipments,ELGIEQUIP.NS,Capital Goods,nifty500
Emami,EMAMILTD.NS,Fast Moving Consumer Goods,nifty500
Emcure Pharmaceuticals,EMCURE.NS,Healthcare,nifty500
Emmvee Photovoltaic Power,EMMVEE.NS,Capital Goods,nifty500
Endurance Technologies,ENDURANCE.NS,Automobile and Auto Components,nifty500
Engineers India,ENGINERSIN.NS,Construction,nifty500
Eris Lifesciences,ERIS.NS,Healthcare,nifty500
Escorts Kubota,ESCORTS.NS,Capital Goods,nifty500
Eternal,ETERNAL.NS,Consumer Services,nifty500
Exide Industries,EXIDEIND.NS,Automobile and Auto Components,nifty500
FSN E-Commerce Ventures,NYKAA.NS,Consumer Services,nifty500
Federal Bank,FEDERALBNK.NS,Financial Services,nifty500
Fertilisers and Chemicals Travancore,FACT.NS,Chemicals,nifty500
Finolex Cables,FINCABLES.NS,Capital Goods,nifty500
Firstsource Solutions,FSL.NS,Services,nifty500
Five-Star Business Finance,FIVESTAR.NS,Financial Services,nifty500
Force Motors,FORCEMOT.NS,Automobile and Auto Components,nifty500
Fortis Healthcare,FORTIS.NS,Healthcare,nifty500
GAIL (India),GAIL.NS,Oil Gas & Consumable Fuels,nifty500
GE Vernova T&D India,GVT&D.NS,Capital Goods,nifty500
GMR Airports,GMRAIRPORT.NS,Services,nifty500
Gabriel India,GABRIEL.NS,Automobile and Auto Components,nifty500
Gallantt Ispat,GALLANTT.NS,Capital Goods,nifty500
Garden Reach Shipbuilders & Engineers,GRSE.NS,Capital Goods,nifty500
General Insurance Corporation of India,GICRE.NS,Financial Services,nifty500
Gillette India,GILLETTE.NS,Fast Moving Consumer Goods,nifty500
